ra,dec,u,g,r,i,z,redshift
311.773148198185,0.0878403143994804,19.0693,17.75905,17.33368,17.1284,17.05385,0.01228289
311.347352424382,0.492554581107574,17.61531,16.25356,15.64549,15.35416,15.1912,0.01335396
311.780172256245,0.430185064569321,16.44163,14.62722,13.81672,13.41127,13.06935,0.01222176
311.834870928742,0.484057214895932,16.79767,14.96222,14.11268,13.68653,13.38561,0.01410405
311.829440940415,0.320820467083094,15.13809,13.01707,12.04971,11.5079,11.29394,0.01401056
311.851264142448,0.300828642854325,15.41886,13.48767,12.56591,12.09263,11.7721,0.01264629
173.358434650424,54.7181263442598,18.44601,17.30459,16.82401,16.57844,16.42938,0.01926229
175.879716978063,55.4788626363347,16.76339,15.52031,15.12741,15.00391,14.85806,0.003267147
180.558490021062,56.3993444819637,17.70892,16.75368,16.33076,16.11571,15.96281,0.01938092
179.056377312575,58.1991959433946,17.09416,16.3768,16.17136,15.97074,16.12008,0.00434754
171.330402401456,57.8691990890253,17.52525,16.50678,16.1213,15.94572,15.81427,0.007015292
174.838769378492,58.268728239746,15.77995,14.49407,13.72125,13.43857,13.73436,0.003796405
172.597902742475,51.6518080653313,17.21331,16.32913,15.98583,15.86547,15.70518,0.00517961
158.999202996205,50.2753830590894,18.21783,17.34393,17.09627,16.9676,16.8863,0.002831406
131.64334617991,36.4390915106511,16.07433,15.43282,15.28745,15.44633,15.27415,0.01063635
147.181806239883,44.0814302919616,14.43563,13.18607,12.54483,12.23012,12.01542,0.01591011
152.41792983317,5.28598943976024,18.90061,17.97049,17.61048,17.43124,17.33025,0.01412106
160.304025502734,6.369901556301,16.62627,14.75037,13.94044,13.53374,13.2559,0.01924049
166.498282908458,7.3736416260703,18.36242,17.26319,16.94603,16.7995,16.76059,0.005444178
174.859633448811,8.70610965370717,18.11344,17.13982,16.75374,16.55342,16.38841,0.01820576
166.520829183515,10.0384199954797,18.4088,17.26494,16.79185,16.56553,16.39237,0.0190088
160.293786605498,46.0104741486445,17.55128,16.98079,16.76925,16.77824,16.66776,0.01811203
173.347808069418,55.0723926109823,16.67605,15.68796,15.33227,15.16223,15.00511,0.007852091
174.878990906144,55.1590200032316,16.18463,14.33879,13.5489,13.16469,12.88306,0.01923256
182.117475749095,55.4238635723381,17.58158,17.02704,16.89819,17.06498,16.98239,0.005830204
238.955123794181,39.7557995309499,18.12537,17.20391,16.91344,16.75208,16.78765,0.01566948
217.393677176809,49.6375430665509,17.20414,15.77824,15.48706,15.5574,15.3891,0.01280799
227.759507893502,46.3205536014483,18.29688,17.21138,16.77155,16.54281,16.39603,0.01951627
233.775801792892,43.0556712748594,19.16211,17.63027,17.25633,17.06245,17.36494,0.01917453
206.462054060997,53.7807141135717,18.49979,17.72768,17.39881,17.26314,17.1604,0.006309344
227.754122111714,52.5580222601132,16.68548,15.78474,15.47283,15.33255,15.22352,0.01183389
227.74005139802,52.4584538270092,16.12134,14.88234,14.22376,13.86498,13.59612,0.01923207
236.145442695699,46.2153869157044,17.84566,16.95121,16.50118,16.30051,16.13918,0.01949101
220.091648974453,54.2245865552601,18.85057,17.82541,17.58329,17.46476,17.51803,0.002082188
245.782846465406,39.3132059628768,16.69226,15.62618,15.2276,15.01258,14.93403,0.01701951
130.059255491667,5.6337892150123,17.05368,16.0281,15.58554,15.49133,15.32035,0.006520571
143.092319917003,7.30228658697855,17.94662,17.29871,17.21179,17.17345,17.07705,0.007109004
175.883397229462,8.8646371881948,17.49728,16.15348,15.46258,15.10953,14.84023,0.01971086
175.894438934555,8.94247091819023,15.22526,13.32858,12.4122,11.99055,11.67717,0.01991878
174.836481072624,46.5138293216446,14.40697,13.46151,13.03895,12.82875,12.75052,0.002516338
48.9673208210788,41.8576953124708,16.86518,15.00381,13.98085,13.57832,13.5102,0.01545198
49.1546377561941,41.789265232571,18.34338,16.42293,15.47323,15.00089,14.64644,0.0178805
49.1146581784357,41.6270222115943,16.66123,14.75043,13.82937,13.37081,13.00509,0.01657564
